address,load
103.120.66.35,22
103.120.66.51,71
103.227.255.101,96
103.60.9.27,72
103.60.9.75,1
103.62.49.193,58
103.62.49.195,53
103.62.49.198,29
103.62.49.203,8
103.62.49.205,38
103.62.49.208,10
103.62.49.210,76
103.62.49.213,4
103.62.49.215,48
103.62.49.218,65
103.62.49.220,52
103.9.76.189,99
104.129.24.251,28
104.129.25.67,61
104.129.25.75,61
104.129.29.163,13
104.129.29.243,38
104.129.29.91,73
104.149.135.11,2
104.149.135.12,97
104.149.137.219,81
104.149.237.243,28
104.149.237.245,47
104.149.238.67,66
104.149.29.226,7
104.149.35.146,53
104.149.68.66,75
104.152.46.83,27
104.200.132.102,54
104.200.132.105,1
104.200.132.108,52
104.200.132.111,23
104.200.132.12,79
104.200.132.15,2
104.200.132.167,3
104.200.132.168,72
104.200.132.169,78
104.200.132.170,5
104.200.132.171,85
104.200.132.172,85
104.200.132.173,37
104.200.132.174,42
104.200.132.175,59
104.200.132.176,66
104.200.132.177,1
104.200.132.178,50
104.200.132.179,63
104.200.132.180,15
104.200.132.181,2
104.200.132.182,100
104.200.132.183,76
104.200.132.184,47
104.200.132.185,98
104.200.132.186,78
104.200.132.187,96
104.200.132.188,76
104.200.132.214,83
104.200.132.215,1
104.200.132.216,51
104.200.132.217,27
104.200.132.218,3
104.200.132.219,94
104.200.132.220,9
104.200.132.221,9
104.200.132.222,25
104.200.132.223,36
104.200.132.224,72
104.200.132.225,94
104.200.132.226,82
104.200.132.227,50
104.200.132.228,20
104.200.132.229,24
104.200.132.230,75
104.200.132.231,82
104.200.132.232,4
104.200.132.233,95
104.200.132.236,50
104.200.132.238,86
104.200.132.240,17
104.200.132.242,46
104.200.132.244,36
104.200.132.246,1
104.200.132.248,49
104.200.132.250,39
104.200.132.3,93
104.200.132.6,96
104.200.132.9,20
104.200.132.99,42
104.200.65.178,59
104.216.216.130,8
104.216.216.194,62
104.216.240.98,64
104.222.154.113,26
104.222.154.114,53
104.222.154.115,17
104.237.193.147,52
104.237.208.107,69
104.254.95.107,100
104.254.95.109,82
104.254.95.211,45
104.254.95.213,2
104.254.95.83,12
104.254.95.85,2
107.150.95.3,78
107.152.104.210,93
107.152.104.212,35
